Trading Date,Interval Number,Trading Interval,Trading Suspended,Offer Quantity (MWh),Bid Quantity (MWh),Clearing Quantity (MWh),Clearing Price ($/MWh),Extracted At,,,
2021/4/28,28,2021/4/28 21:30,N,2246.371,963.706,10.382,55.34,,2.767,,
2021/4/28,29,2021/4/28 22:00,N,2254.625,887.426,10.873,46.53,,2.3265,,
2021/4/28,30,2021/4/28 22:30,N,2264.533,829.672,10.873,45.32,,2.266,,
2021/4/28,31,2021/4/28 23:00,N,2274.214,775.744,35.93,34.23,,1.7115,,
2021/4/28,32,2021/4/28 23:30,N,2280.394,755.365,29.384,29.42,,1.471,,
2021/4/28,33,2021/4/29 0:00,N,2281.72,767.322,32.35,33.33,,1.6665,,
2021/4/28,34,2021/4/29 0:30,N,2281.701,762.457,29.384,30,,1.5,,
2021/4/28,35,2021/4/29 1:00,N,2284.462,760.75,29.384,30,,1.5,,
2021/4/28,36,2021/4/29 1:30,N,2290.423,758.664,29.384,30,,1.5,,
2021/4/28,37,2021/4/29 2:00,N,2293.81,745.776,29.384,30,,1.5,,
2021/4/28,38,2021/4/29 2:30,N,2298.839,735.786,29.384,30,,1.5,,
2021/4/28,39,2021/4/29 3:00,N,2303.119,729.615,29.384,30,,1.5,,
2021/4/28,40,2021/4/29 3:30,N,2307.691,731.307,29.384,30,,1.5,,
2021/4/28,41,2021/4/29 4:00,N,2311.771,737.774,29.384,30,,1.5,,
2021/4/28,42,2021/4/29 4:30,N,2314.587,753.592,33.802,33.33,,1.6665,,
2021/4/28,43,2021/4/29 5:00,N,2311.395,790.06,48.092,43.64,,2.182,,
2021/4/28,44,2021/4/29 5:30,N,2306.148,800.616,53.018,45.32,,2.266,,
2021/4/28,45,2021/4/29 6:00,N,2294.823,833.26,26.3,54.02,,2.701,,
2021/4/28,46,2021/4/29 6:30,N,2288.1,897.472,23.74,59.19,,2.9595,,
2021/4/28,47,2021/4/29 7:00,N,2282.988,951.551,24.18,59.2,,2.96,,
